Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
RV1,A10k,V3_TRIM_R0904NB10KL-Keepout,131.0,-81.45,0.0,top
RV2,A10k,V3_TRIM_R0904NB10KL-Keepout,69.0,-81.45,0.0,top
RV3,A10k,V3_TRIM_R0904NB10KL-Keepout,100.0,-96.45,0.0,top
SW1,SW_SPDT,SPDT.LUGS.PM,69.0,-110.25,90.0,top
SW2,SW_SPDT,SPDT.LUGS.PM,131.0,-110.25,-90.0,top
U1,OPA1679,SOIC-14_3.9x8.7mm_P1.27mm,131.064,-96.901,0.0,bottom
U2,OPA1679,SOIC-14_3.9x8.7mm_P1.27mm,83.058,-96.901,0.0,bottom
U3,DG403,SOIC-16_3.9x9.9mm_P1.27mm,104.14,-113.157,0.0,bottom
U4,NE555,SOIC-8_3.9x4.9mm_P1.27mm,74.93,-115.57,0.0,bottom
U5,CD4070,SOIC-14_3.9x8.7mm_P1.27mm,66.167,-121.031,0.0,bottom
